Name,Address,City,State,Phone,Web Address,Street Address,Service,Type,Zip
San Ysidro Health Julian Family Dental,2602 Washington St,Julian,CA,619-662-4100,,1601 Precision Park Ln,Primary Care,Free,92036
Lake Superior Community Health Center White Pine Clinic,210 3rd St,Carlton,MN,218-722-1497,,4325 Grand Ave,Primary Care,Free,55718
Marillac Clinic-OUTREACH DAY CENTER,302 Pitkin Ave,Grand Junction,CO,970-200-1600,www.MarillacHealth.org,2333 N 6th St,Primary Care,Free,81501
Family Health Center,1 Fordham Plz,Bronx,NY,718-933-2400,www.montefiore.org,1 Fordham Plz FL 11,Primary Care,Free,10458
Globe Clinic,415 W Baseline Spur,Globe,AZ,833-431-4449,www.hhwaz.org,625 North Plaza Drive,Primary Care,Free,85501
Creswell Primary Care,9500 Nc Highway 94 N,Creswell,NC,252-209-0237,,120 Health Center Dr,Primary Care,Free,27928
School District of Washburn- Washburn Elementary,411 W 8th St,Washburn,WI,888-834-4551,www.nlccwi.org,7665 US Highway 2,Primary Care,Free,54891
"E.A. HAWSE HEALTH CENTER, INC.",106 Harold K Michaels Dr,Mathias,WV,304-897-7400,www.hawsehealth.com,17978 State Road 55,Primary Care,Free,26812
ResourceCare - Baird on Peyton,527 Peyton St,Baird,TX,325-854-1365,https://www.resourcecare.org/,725 Pate St,Primary Care,Free,79504
Mountain Laurel Medical Center Grantsville,28 Hershberger Ln,Grantsville,MD,844-652-8735,,1027 Memorial Dr,Primary Care,Free,21536
AZA HEALTH,105 Whitehall Dr # 109-114,Saint Augustine,FL,904-829-2782,www.azahealth.org,146 Comfort Rd,Primary Care,Free,32086
Rea Clinic - Benton,206 E Church St STE B,Benton,IL,618-435-9888,www.crhpc.org,4241 State Highway 14,Primary Care,Free,62812
Rural Health Group at Roanoke Rapids,2066 Nc Highway 125,Roanoke Rapids,NC,252-536-5000,www.rhgnc.org,717 Old Farm Road South,Primary Care,Free,27870
CHS at Constellation Schools: Westside School of the Arts,3727 Bosworth Rd,Cleveland,OH,216-688-1990,,12201 Euclid Ave,Primary Care,Free,44111
Carevide,2824 Terrell Rd,Greenville,TX,903-455-5958,carevide.org,4500 Wesley St,Primary Care,Free,75402
SAC Health System Indio Clinic,82934 Civic Center Dr,Indio,CA,909-771-2822,,1455 3rd St,Primary Care,Free,92201
CHS Sevierville Primary School Clinic,1146 Blanton Dr,Sevierville,TN,865-453-2824,,2018 Western Ave,Primary Care,Free,37862
"Community Care Clinic, Inc.",E Franklin Rd,Monticello,KY,606-425-5768,www.communitycareclinic.net,126 FRANKLIN RD,Primary Care,Free,42633
CommuniCare Health Centers - Westover Hills,9022 Culebra Rd STE 101,San Antonio,TX,210-233-7000,www.communicaresa.org,3066 E Commerce St,Primary Care,Free,78251
Martin County Middle School,130 Crum Middle School Dr,Crum,WV,606-395-5900,https://www.martin.kyschools.us/3/home,1709 KY Route 321,Primary Care,Free,25669
Schuyler High School,401 Adam St,Schuyler,NE,402-352-3527,,4321 41st Ave,Primary Care,Free,68661
Valley View Health Center - Centralia,1800 Cooks Hill Rd STE F,Centralia,WA,360-669-0335,https://vvhc.org/,2690 NE Kresky Ave,Primary Care,Free,98531
Bolton High School Based Clinic,2101 Vance Ave,Alexandria,LA,318-648-0375,www.winnchc.org,431 W Lafayette St,Primary Care,Free,71301
